id,garment_id,split,source_row,gender,category,type,brand,colors,size,cut,pattern,material,season,trend,usage,price,condition,pilling,holes,stains,smell,timestamp,station,period,productDisplayName,articleType,baseColour,image_path
train-10480,10480,train,9445,Women,Ladies,Top,Kappahl,Red,L,Regular,,100% cotton,All,,Reuse,<50,5,5,,,,2023_06_15_08_38_51,station1,jun2023,Kappahl Top,Top,Red,data/second_hand_clothing/images/train-10480.webp
train-10482,10482,train,9447,Men,Men,T-shirt,Skill,Black,M,Regular,,100% cotton,All,,Recycle,<50,3,5,,,,2023_06_15_08_45_17,station1,jun2023,Skill T-shirt,T-shirt,Black,data/second_hand_clothing/images/train-10482.webp
train-10483,10483,train,9448,Men,Men,T-shirt,Not in the list,Beige,XL,Regular,,100% cotton,All,,Recycle,<50,3,5,,Major,,2023_06_15_08_47_12,station1,jun2023,T-shirt,T-shirt,Beige,data/second_hand_clothing/images/train-10483.webp
train-10484,10484,train,9449,Men,Men,T-shirt,Not in the list,Red / Black / White,M,Regular,Logo print,100% cotton,All,,Recycle,<50,4,5,Minor,,,2023_06_15_08_49_40,station1,jun2023,T-shirt,T-shirt,Red / Black / White,data/second_hand_clothing/images/train-10484.webp
train-10485,10485,train,9450,Men,Men,T-shirt,Not in the list,Black,L,Regular,,100% cotton,All,,Reuse,<50,4,5,,,,2023_06_15_08_51_43,station1,jun2023,T-shirt,T-shirt,Black,data/second_hand_clothing/images/train-10485.webp
train-10486,10486,train,9451,Men,Men,Top,Murrey,Red / White / Grey / Multicolor,M,Regular,Geometric print,100% cotton,All,,Reuse,50-100,4,4,,,,2023_06_15_08_54_08,station1,jun2023,Murrey Top,Top,Red / White / Grey / Multicolor,data/second_hand_clothing/images/train-10486.webp
train-10487,10487,train,9452,Women,Ladies,Top,Not in the list,White / Brown / Black,L,Regular,Geometric print,100% acrylic,Winter,,Energy recovery,<50,1,1,,,,2023_06_15_08_57_55,station1,jun2023,Top,Top,White / Brown / Black,data/second_hand_clothing/images/train-10487.webp
train-10488,10488,train,9453,Men,Men,Winter jacket,Not in the list,Grey,S,Regular,,100% polyester,Winter,,Reuse,100-150,4,4,Minor,,,2023_06_16_05_43_35,station1,jun2023,Winter jacket,Winter jacket,Grey,data/second_hand_clothing/images/train-10488.webp
train-10489,10489,train,9454,Men,Men,Rain jacket,The North Face,Black / Red,XL,Regular,,100% polyester,Autumn,,Export,100-150,3,5,,Major,,2023_06_16_05_48_27,station1,jun2023,The North Face Rain jacket,Rain jacket,Black / Red,data/second_hand_clothing/images/train-10489.webp
train-1049,1049,train,966,Women,Ladies,Top,Not in the list,White / Blue,XL,Regular,Other,100% Viscose,All,,Reuse,50-100,5,5,,,,2024_04_26_06_17_48,station1,apr2024,Top,Top,White / Blue,data/second_hand_clothing/images/train-1049.webp
train-10490,10490,train,9455,Women,Ladies,Winter jacket,Not in the list,Green,XL,Regular,,100% polyester,Winter,,Export,100-150,3,5,Major,Minor,,2023_06_16_05_52_25,station1,jun2023,Winter jacket,Winter jacket,Green,data/second_hand_clothing/images/train-10490.webp
train-10491,10491,train,9456,Women,Ladies,Hoodie,Abercomb & Fitch,Blue,L,Regular,,61% cotton 39% polyester,All,,Export,50-100,2,1,,Minor,,2023_06_16_05_56_38,station1,jun2023,Abercomb & Fitch Hoodie,Hoodie,Blue,data/second_hand_clothing/images/train-10491.webp
train-10492,10492,train,9457,Women,Ladies,Top,Lindex,Black / White,S,Regular,Dots,60% cotton 40% viscose,All,,Reuse,50-100,4,5,,Minor,,2023_06_16_05_59_40,station1,jun2023,Lindex Top,Top,Black / White,data/second_hand_clothing/images/train-10492.webp
train-10493,10493,train,9458,Men,Men,Tights,Not in the list,Black,XL,Regular,,100% cotton,Winter,,Recycle,<50,4,5,Minor,,,2023_06_16_06_04_48,station1,jun2023,Tights,Tights,Black,data/second_hand_clothing/images/train-10493.webp
train-10494,10494,train,9459,Men,Men,Winter jacket,Logg (H&M),Black,M,Regular,,50% cotton 50% polyester,Winter,Denim,Reuse,100-150,5,5,,,Minor,2023_06_16_06_09_14,station1,jun2023,Logg (H&M) Winter jacket,Winter jacket,Black,data/second_hand_clothing/images/train-10494.webp
train-10495,10495,train,9460,Men,Men,Hoodie,Boohoo,Green,M,Regular,Embroidered,82% cotton 18% polyester,All,,Reuse,50-100,5,5,,,Minor,2023_06_16_06_12_32,station1,jun2023,Boohoo Hoodie,Hoodie,Green,data/second_hand_clothing/images/train-10495.webp
train-10496,10496,train,9461,Men,Men,Top,Not in the list,Black,L,Regular,,100% polyester,All,,Export,<50,3,3,,,,2023_06_16_06_18_15,station1,jun2023,Top,Top,Black,data/second_hand_clothing/images/train-10496.webp
train-10497,10497,train,9462,Women,Ladies,Tights,Not in the list,Black,L,Regular,,100% polyester,All,,Export,<50,1,1,,,,2023_06_16_06_20_23,station1,jun2023,Tights,Tights,Black,data/second_hand_clothing/images/train-10497.webp
train-10498,10498,train,9463,Men,Men,Shirt,Not in the list,Blue,L,Regular,,100% cotton,All,Denim,Reuse,50-100,5,5,,,,2023_06_16_06_23_24,station1,jun2023,Shirt,Shirt,Blue,data/second_hand_clothing/images/train-10498.webp
train-10499,10499,train,9464,Men,Men,Jeans,Not in the list,Black,,Regular,,100% cotton,All,Denim,Recycle,50-100,4,5,Minor,,,2023_06_16_06_29_26,station1,jun2023,Jeans,Jeans,Black,data/second_hand_clothing/images/train-10499.webp
train-105,105,train,96,Women,Ladies,Top,Not in the list,Pink,M,Loose,Floral print,100% nylon,,,Reuse,50-100,3,5,,,Minor,2023_04_18_06_33_18,station1,apr2023,Top,Top,Pink,data/second_hand_clothing/images/train-105.webp
train-1050,1050,train,967,Women,Ladies,T-shirt,Not in the list,Beige / Yellow / Blue,42,C-collar,Floral print,100% Viscose,All,,Reuse,50-100,3,5,,,,2024_04_26_06_19_37,station1,apr2024,T-shirt,T-shirt,Beige / Yellow / Blue,data/second_hand_clothing/images/train-1050.webp
train-10500,10500,train,9465,Men,Men,Trousers,Dressman,Black,36,Regular,,100% cotton,All,,Reuse,50-100,4,5,,,,2023_06_16_06_32_31,station1,jun2023,Dressman Trousers,Trousers,Black,data/second_hand_clothing/images/train-10500.webp
train-10501,10501,train,9466,Men,Men,Sweater,Jack And Jones,Blue,,Regular,,100% cotton,All,,Reuse,50-100,4,5,,,,2023_06_16_06_35_33,station1,jun2023,Jack And Jones Sweater,Sweater,Blue,data/second_hand_clothing/images/train-10501.webp
train-10502,10502,train,9467,Men,Men,Sweater,Hamton Republic (Kappahl),White,L,Regular,Geometric print,100% cotton,All,,Reuse,50-100,5,5,,,,2023_06_16_06_38_26,station1,jun2023,Hamton Republic (Kappahl) Sweater,Sweater,White,data/second_hand_clothing/images/train-10502.webp
train-10503,10503,train,9468,Men,Men,Winter jacket,Not in the list,Black,M,Regular,,62% polyester38% cotton,Winter,,Export,100-150,3,5,,,,2023_06_16_06_43_20,station1,jun2023,Winter jacket,Winter jacket,Black,data/second_hand_clothing/images/train-10503.webp
train-10504,10504,train,9469,Women,Ladies,Jeans,H&M,Blue,34,Regular,,100% cotton,All,denim,Reuse,50-100,3,5,Minor,Minor,,2023_06_16_06_49_41,station1,jun2023,H&M Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10504.webp
train-10505,10505,train,9470,Women,Ladies,Jeans,Not in the list,Blue,34,Regular,,91% cotton 9% polyester,All,Denim,Reuse,50-100,5,5,,,,2023_06_16_06_53_19,station1,jun2023,Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10505.webp
train-10506,10506,train,9471,Women,Ladies,Jeans,Not in the list,Blue,,Regular,,100% cotton,All,Denim,Reuse,50-100,5,5,,,,2023_06_16_06_55_55,station1,jun2023,Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10506.webp
train-10507,10507,train,9472,Women,Ladies,Trousers,Dr Denim,Black,S,Regular,,80% rayon 20% nylon,All,,Export,50-100,3,5,,Major,,2023_06_16_07_00_23,station1,jun2023,Dr Denim Trousers,Trousers,Black,data/second_hand_clothing/images/train-10507.webp
train-10508,10508,train,9473,Men,Men,Trousers,Dressman,Black,,Regular,,100% cotton,All,,Reuse,50-100,4,5,,,,2023_06_16_07_03_03,station1,jun2023,Dressman Trousers,Trousers,Black,data/second_hand_clothing/images/train-10508.webp
train-10509,10509,train,9474,Women,Ladies,Trousers,H&M,Black,36,Regular,Striped,66% polyester 34% viscose,All,,Reuse,50-100,4,5,,,,2023_06_16_07_06_28,station1,jun2023,H&M Trousers,Trousers,Black,data/second_hand_clothing/images/train-10509.webp
train-10510,10510,train,9475,Men,Men,Shirt,Not in the list,Blue,XL,Regular,Dots,100% cotton,All,,Reuse,50-100,5,5,,,,2023_06_16_07_09_49,station1,jun2023,Shirt,Shirt,Blue,data/second_hand_clothing/images/train-10510.webp
train-10511,10511,train,9476,Men,Men,Shirt,Not in the list,Blue / White / Black,44,Regular,Dots,58% nylon 42% cotton,All,,Export,<50,3,5,,Major,,2023_06_16_07_13_03,station1,jun2023,Shirt,Shirt,Blue / White / Black,data/second_hand_clothing/images/train-10511.webp
train-10512,10512,train,9477,Women,Ladies,Vest,Only,Black,M,Cropped,,59% cotton 41% polyester,All,,Export,<50,3,3,,,,2023_06_16_07_16_54,station1,jun2023,Only Vest,Vest,Black,data/second_hand_clothing/images/train-10512.webp
train-10513,10513,train,9478,Men,Men,Top,Kappa,Black,L,Regular,Logo print,100% cotton,All,,Reuse,<50,4,5,,,,2023_06_16_07_20_06,station1,jun2023,Kappa Top,Top,Black,data/second_hand_clothing/images/train-10513.webp
train-10514,10514,train,9479,Men,Men,T-shirt,Not in the list,Black,L,Regular,Logo print,100% cotton,All,,Recycle,<50,3,5,,,,2023_06_16_07_22_37,station1,jun2023,T-shirt,T-shirt,Black,data/second_hand_clothing/images/train-10514.webp
train-10515,10515,train,9480,Men,Men,Top,Not in the list,Green / Red / White,L,Regular,Logo print,100% cotton,All,,Reuse,50-100,5,5,,,,2023_06_16_07_25_18,station1,jun2023,Top,Top,Green / Red / White,data/second_hand_clothing/images/train-10515.webp
train-10516,10516,train,9481,Women,Ladies,Trousers,Not in the list,Grey / Blue,S,Regular,,unknown,All,,Export,<50,2,2,,,,2023_06_16_07_28_52,station1,jun2023,Trousers,Trousers,Grey / Blue,data/second_hand_clothing/images/train-10516.webp
train-10517,10517,train,9482,Women,Ladies,Hoodie,Not in the list,Pink / White,M,Regular,Logo print,81% cotton 19% polyester,All,,Reuse,50-100,5,5,,,,2023_06_16_07_31_53,station1,jun2023,Hoodie,Hoodie,Pink / White,data/second_hand_clothing/images/train-10517.webp
train-10518,10518,train,9483,Men,Men,Shirt,Not in the list,White,46,Regular,,25% cotton 75% polyester,All,,Export,50-100,3,5,,Major,,2023_06_16_07_35_50,station1,jun2023,Shirt,Shirt,White,data/second_hand_clothing/images/train-10518.webp
train-10519,10519,train,9484,Women,Ladies,Shirt,Cos,White,36,Regular,,100% cotton,All,,Recycle,<50,2,5,,Major,,2023_06_16_07_40_52,station1,jun2023,Cos Shirt,Shirt,White,data/second_hand_clothing/images/train-10519.webp
train-1052,1052,train,968,Women,Ladies,T-shirt,Missing,Multicolor / Blue / Yellow / Green,,Regular,Other,100% Polyester,All,,Reuse,50-100,5,5,,,,2024_04_26_06_24_46,station1,apr2024,T-shirt,T-shirt,Multicolor / Blue / Yellow / Green,data/second_hand_clothing/images/train-1052.webp
train-10521,10521,train,9485,Men,Men,Shorts,Dressman,Blue / White / Grey,XXXL,Regular,Checkered print,100% cotton,Summer,,Reuse,<50,4,4,,,,2023_06_16_08_10_22,station1,jun2023,Dressman Shorts,Shorts,Blue / White / Grey,data/second_hand_clothing/images/train-10521.webp
train-10522,10522,train,9486,Women,Ladies,Trousers,Zara,Brown,S,Regular,,51% cotton 49% polyester,All,,Reuse,<50,4,5,,Minor,,2023_06_16_08_13_23,station1,jun2023,Zara Trousers,Trousers,Brown,data/second_hand_clothing/images/train-10522.webp
train-10523,10523,train,9487,Women,Ladies,Vest,Not in the list,White,L,Regular,Dots,52% viscose 48% nylone,All,,Reuse,<50,4,5,,Minor,,2023_06_16_08_16_53,station1,jun2023,Vest,Vest,White,data/second_hand_clothing/images/train-10523.webp
train-10524,10524,train,9488,Men,Men,Shirt,Not in the list,White / Green / Brown / Multicolor,XL,Regular,Checkered print,100% cotton,All,,Reuse,50-100,5,5,,,,2023_06_16_08_20_16,station1,jun2023,Shirt,Shirt,White / Green / Brown / Multicolor,data/second_hand_clothing/images/train-10524.webp
train-10526,10526,train,9489,Men,Men,Blazer,Dressman,Black,46,Regular,,66% polyester 34% cotton,All,,Reuse,100-150,5,5,,,,2023_06_16_08_25_45,station1,jun2023,Dressman Blazer,Blazer,Black,data/second_hand_clothing/images/train-10526.webp
train-10527,10527,train,9490,Men,Men,Blazer,Dressman,Black,50,Regular,,62% polyester 38% cotton,All,,Reuse,100-150,5,5,,,,2023_06_16_08_28_00,station1,jun2023,Dressman Blazer,Blazer,Black,data/second_hand_clothing/images/train-10527.webp
train-10528,10528,train,9491,Men,Men,Blazer,Dressman,Black,46,Regular,,59% polyester 41% cotton,All,,Reuse,100-150,4,5,,Minor,,2023_06_16_08_29_54,station1,jun2023,Dressman Blazer,Blazer,Black,data/second_hand_clothing/images/train-10528.webp
train-10529,10529,train,9492,Men,Men,Blazer,Riley,Black,,Regular,,53% polyester 47% cotton,All,,Reuse,100-150,5,5,,,,2023_06_16_08_33_08,station1,jun2023,Riley Blazer,Blazer,Black,data/second_hand_clothing/images/train-10529.webp
train-1053,1053,train,969,Women,Ladies,Blouse,Part Two,Blue / White,38,Regular,Striped,100% Cotton,Spring,,Recycle,<50,2,5,,,,2024_04_26_06_26_41,station1,apr2024,Part Two Blouse,Blouse,Blue / White,data/second_hand_clothing/images/train-1053.webp
train-10532,10532,train,9495,Women,Ladies,T-shirt,Kappahl,Green,M,V-collar,,100% cotton,All,,Reuse,<50,5,5,,,,2023_06_16_08_42_00,station1,jun2023,Kappahl T-shirt,T-shirt,Green,data/second_hand_clothing/images/train-10532.webp
train-10534,10534,train,9497,Women,Ladies,Shorts,H&M,Blue,38,Regular,,100% cotton,Summer,Denim,Reuse,50-100,5,5,,,,2023_06_16_08_46_19,station1,jun2023,H&M Shorts,Shorts,Blue,data/second_hand_clothing/images/train-10534.webp
train-10536,10536,train,9498,Women,Ladies,Cardigan,Not in the list,White / Blue / Red / Multicolor,S,Regular,Checkered print,100% cotton,All,,Reuse,<50,4,4,Minor,,,2023_06_16_08_53_13,station1,jun2023,Cardigan,Cardigan,White / Blue / Red / Multicolor,data/second_hand_clothing/images/train-10536.webp
train-10537,10537,train,9499,Men,Men,Hoodie,H&M,Red,,Regular,,100% cotton,All,,Recycle,<50,4,5,,Major,,2023_06_16_08_59_19,station1,jun2023,H&M Hoodie,Hoodie,Red,data/second_hand_clothing/images/train-10537.webp
train-10538,10538,train,9500,Women,Ladies,Blouse,Cream,White,34,Regular,Lace,100% viscose,All,,Reuse,50-100,4,5,,Minor,,2023_06_16_09_01_38,station1,jun2023,Cream Blouse,Blouse,White,data/second_hand_clothing/images/train-10538.webp
train-10539,10539,train,9501,Women,Ladies,Top,Inwear,White,XS,Turtle neck,,54% viscose 46% nylone,All,,Export,50-100,4,5,,Minor,,2023_06_16_09_04_29,station1,jun2023,Inwear Top,Top,White,data/second_hand_clothing/images/train-10539.webp
train-1054,1054,train,970,Women,Ladies,Shirt,Not in the list,Beige,,Regular,,100% Cotton,All,,Reuse,50-100,5,5,,,,2024_04_26_06_29_04,station1,apr2024,Shirt,Shirt,Beige,data/second_hand_clothing/images/train-1054.webp
train-10540,10540,train,9502,Women,Ladies,Skirt,Missing,Blue,XS,Regular,,47% viscose 53% nylone,Summer,,Export,<50,3,5,,Minor,,2023_06_16_09_06_36,station1,jun2023,Skirt,Skirt,Blue,data/second_hand_clothing/images/train-10540.webp
train-10541,10541,train,9503,Women,Ladies,T-shirt,Not in the list,Red / White,S,Regular,Geometric print,52% polyester 48% cotton,All,,Reuse,50-100,5,5,,,,2023_06_16_09_09_02,station1,jun2023,T-shirt,T-shirt,Red / White,data/second_hand_clothing/images/train-10541.webp
train-10542,10542,train,9504,Men,Men,Shirt,Mexx,Grey,XL,Regular,,67% cotton 33% viscose,All,,Reuse,<50,4,4,,,,2023_06_16_09_12_26,station1,jun2023,Mexx Shirt,Shirt,Grey,data/second_hand_clothing/images/train-10542.webp
train-10543,10543,train,9505,Men,Men,Shirt,Missing,Grey / Beige,,Regular,Striped,65% cotton 35% viscose,All,,Reuse,<50,4,4,,,,2023_06_16_09_15_43,station1,jun2023,Shirt,Shirt,Grey / Beige,data/second_hand_clothing/images/train-10543.webp
train-10545,10545,train,9506,Women,Ladies,Cardigan,Missing,White,,Regular,,75% cotton 25% nylon,All,,Export,50-100,3,4,,Minor,,2023_06_16_10_37_35,station1,jun2023,Cardigan,Cardigan,White,data/second_hand_clothing/images/train-10545.webp
train-10546,10546,train,9507,Women,Ladies,Top,Not in the list,Multicolor / Beige / Black / Pink,S,C-collar,Geometric print,100% cotton,All,,Reuse,50-100,4,5,,,,2023_06_16_10_46_54,station1,jun2023,Top,Top,Multicolor / Beige / Black / Pink,data/second_hand_clothing/images/train-10546.webp
train-10547,10547,train,9508,Women,Ladies,Cardigan,Isolde,White,M,Regular,Other,100% cotton,All,,Export,<50,3,3,,Minor,,2023_06_16_10_50_18,station1,jun2023,Isolde Cardigan,Cardigan,White,data/second_hand_clothing/images/train-10547.webp
train-10548,10548,train,9509,Women,Ladies,Dress,Missing,Multicolor / Beige / Pink / Blue,,Regular,Floral print,80% viscose 20% cotton,Summer,,Reuse,50-100,4,5,,,,2023_06_16_10_54_07,station1,jun2023,Dress,Dress,Multicolor / Beige / Pink / Blue,data/second_hand_clothing/images/train-10548.webp
train-10549,10549,train,9510,Women,Ladies,Blouse,Not in the list,Multicolor / Pink / Blue / Black,M,Loose,Floral print,100% polyester,All,,Export,<50,2,4,Minor,,Minor,2023_06_16_11_02_08,station1,jun2023,Blouse,Blouse,Multicolor / Pink / Blue / Black,data/second_hand_clothing/images/train-10549.webp
train-1055,1055,train,971,Women,Ladies,Blouse,Not in the list,White / Pink / Grey / Multicolor,M,Regular,Floral print,100% Viscose,All,,Reuse,50-100,5,5,,,,2024_04_26_06_31_26,station1,apr2024,Blouse,Blouse,White / Pink / Grey / Multicolor,data/second_hand_clothing/images/train-1055.webp
train-10550,10550,train,9511,Women,Ladies,Shirt,Kappahl,White,38,Regular,Transparent,100% polyester,All,,Reuse,50-100,4,5,,,,2023_06_16_11_05_35,station1,jun2023,Kappahl Shirt,Shirt,White,data/second_hand_clothing/images/train-10550.webp
train-10551,10551,train,9512,Women,Ladies,Dress,Missing,White,,,Transparent,88% akryl 12% okänt,Summer,,Export,<50,3,5,,Major,Minor,2023_06_16_11_11_35,station1,jun2023,Dress,Dress,White,data/second_hand_clothing/images/train-10551.webp
train-10552,10552,train,9513,Women,Ladies,Shirt,Not in the list,White / Blue,38,Regular,Floral print,100% polyester,All,,Recycle,<50,2,3,,Minor,,2023_06_16_11_15_45,station1,jun2023,Shirt,Shirt,White / Blue,data/second_hand_clothing/images/train-10552.webp
train-10553,10553,train,9514,Men,Men,Shirt,Riley,Red / White,L,Regular,Striped,100% cotton,All,,Reuse,50-100,4,5,,,,2023_06_16_11_19_51,station1,jun2023,Riley Shirt,Shirt,Red / White,data/second_hand_clothing/images/train-10553.webp
train-10555,10555,train,9515,Women,Ladies,Dress,Missing,Beige / White,,Regular,Dots,100% viscose,All,,Export,50-100,2,4,Minor,Minor,Minor,2023_06_16_11_31_10,station1,jun2023,Dress,Dress,Beige / White,data/second_hand_clothing/images/train-10555.webp
train-10556,10556,train,9516,Women,Ladies,Tank top,Not in the list,Multicolor / Beige / Blue / Black,L,,Geometric print,100% viscose,All,,Reuse,50-100,4,5,,,,2023_06_16_11_35_25,station1,jun2023,Tank top,Tank top,Multicolor / Beige / Blue / Black,data/second_hand_clothing/images/train-10556.webp
train-10557,10557,train,9517,Women,Ladies,Top,Not in the list,Blue,M,C-collar,Glitter,100% viscose,All,,Reuse,50-100,4,5,,,,2023_06_16_11_38_12,station1,jun2023,Top,Top,Blue,data/second_hand_clothing/images/train-10557.webp
train-1056,1056,train,972,Men,Men,Top,Missing,Red,,Regular,,100% Cotton,All,,Reuse,50-100,5,5,,,,2024_04_26_06_42_16,station1,apr2024,Top,Top,Red,data/second_hand_clothing/images/train-1056.webp
train-10564,10564,train,9522,Women,Ladies,Cardigan,H&M,Grey,S,Regular,,95% akryl 5% okänt,All,,Export,<50,3,3,,,Minor,2023_06_16_12_29_25,station1,jun2023,H&M Cardigan,Cardigan,Grey,data/second_hand_clothing/images/train-10564.webp
train-10565,10565,train,9523,Women,Ladies,Blazer,Missing,Red,,Cropped,,75% wool 25% akryl,All,,Reuse,100-150,3,4,,Minor,,2023_06_16_12_59_40,station1,jun2023,Blazer,Blazer,Red,data/second_hand_clothing/images/train-10565.webp
train-10566,10566,train,9524,Women,Ladies,Skirt,Not in the list,Black,L,Regular,,100% polyester,All,,Reuse,<50,4,4,,,,2023_06_16_13_05_12,station1,jun2023,Skirt,Skirt,Black,data/second_hand_clothing/images/train-10566.webp
train-1057,1057,train,973,Women,Ladies,Tank top,Missing,Red,,Turtle neck,,100% Cotton,All,,Recycle,<50,3,5,,,,2024_04_26_06_44_37,station1,apr2024,Tank top,Tank top,Red,data/second_hand_clothing/images/train-1057.webp
train-10577,10577,train,9534,Women,Ladies,Sweater,Lager 157,White,M,Oversize,Striped,85% acrylic 15% polyester,All,,Export,50-100,3,3,,,Minor,2023_06_19_06_10_34,station1,jun2023,Lager 157 Sweater,Sweater,White,data/second_hand_clothing/images/train-10577.webp
train-10578,10578,train,9535,Women,Ladies,Hoodie,Asos,Blue,M,Regular,,100% cotton,All,,Recycle,50-100,3,4,Minor,,Minor,2023_06_19_06_14_21,station1,jun2023,Asos Hoodie,Hoodie,Blue,data/second_hand_clothing/images/train-10578.webp
train-10579,10579,train,9536,Women,Ladies,Jeans,Fbsisters (New Yorker),Blue,,Tight,,100% cotton,All,Denim,Reuse,100-150,5,5,,,Minor,2023_06_19_06_17_46,station1,jun2023,Fbsisters (New Yorker) Jeans,Jeans,Blue,data/second_hand_clothing/images/train-10579.webp
train-1058,1058,train,974,Women,Ladies,Jeans,Not in the list,White,,Tight,,100% Cotton,All,Denim,Recycle,<50,2,5,,,,2024_04_26_06_49_53,station1,apr2024,Jeans,Jeans,White,data/second_hand_clothing/images/train-1058.webp
train-10580,10580,train,9537,Women,Ladies,Jeans,Never Denim Låg,Black,,Tight,,80% cotton 20% polyester,All,Denim,Export,50-100,3,5,,,,2023_06_19_06_21_55,station1,jun2023,Never Denim Låg Jeans,Jeans,Black,data/second_hand_clothing/images/train-10580.webp
train-10581,10581,train,9538,Women,Ladies,Trousers,H&M,Black / White,36,Regular,Striped,100% polyester,All,,Reuse,50-100,5,5,,,,2023_06_19_06_25_18,station1,jun2023,H&M Trousers,Trousers,Black / White,data/second_hand_clothing/images/train-10581.webp
train-10582,10582,train,9539,Women,Ladies,Shirt,Gap,White / Blue,S,Regular,Striped,100% cotton,All,,Reuse,50-100,5,5,,,,2023_06_19_06_30_11,station1,jun2023,Gap Shirt,Shirt,White / Blue,data/second_hand_clothing/images/train-10582.webp
train-10583,10583,train,9540,Women,Ladies,Jacket,Not in the list,White,XS,Regular,,100% cotton,Spring,,Recycle,50-100,3,5,,Major,,2023_06_19_06_33_44,station1,jun2023,Jacket,Jacket,White,data/second_hand_clothing/images/train-10583.webp
train-10584,10584,train,9541,Women,Ladies,Jacket,Lindex,White / Blue / Black,XL,Regular,Striped,100% polyester,Autumn,,Reuse,100-150,4,4,,,,2023_06_19_06_37_29,station1,jun2023,Lindex Jacket,Jacket,White / Blue / Black,data/second_hand_clothing/images/train-10584.webp
train-10587,10587,train,9544,Men,Men,Trousers,Mango,Grey,40,Regular,,100% cotton,All,,Reuse,50-100,5,5,,Major,Major,2023_06_19_06_47_08,station1,jun2023,Mango Trousers,Trousers,Grey,data/second_hand_clothing/images/train-10587.webp
train-10588,10588,train,9545,Women,Ladies,T-shirt,Cappuchini,Pink,M,Regular,,100% cotton,All,,Recycle,<50,3,4,,Major,,2023_06_19_06_50_03,station1,jun2023,Cappuchini T-shirt,T-shirt,Pink,data/second_hand_clothing/images/train-10588.webp
train-10589,10589,train,9546,Women,Ladies,T-shirt,Kappahl,Orange,44,Regular,,100% cotton,All,,Reuse,<50,5,5,,,Minor,2023_06_19_06_56_47,station1,jun2023,Kappahl T-shirt,T-shirt,Orange,data/second_hand_clothing/images/train-10589.webp
train-1059,1059,train,975,Women,Ladies,Blouse,Not in the list,Black / White,L,Regular,Checkered print,100% Cotton,All,,Reuse,50-100,5,5,,,,2024_04_26_06_52_25,station1,apr2024,Blouse,Blouse,Black / White,data/second_hand_clothing/images/train-1059.webp
train-10591,10591,train,9547,Women,Ladies,Sweater,Lindex,Grey,XS,Turtle neck,,38% alpaca 32% polyamide 30% wool,Autumn,,Reuse,<50,4,4,,,,2023_06_19_07_03_19,station1,jun2023,Lindex Sweater,Sweater,Grey,data/second_hand_clothing/images/train-10591.webp
train-10592,10592,train,9548,Women,Ladies,Sweater,Lindex,Grey,XS,Oversize,,75% acrylic 25% polyester,Autumn,,Reuse,<50,5,5,,,,2023_06_19_07_06_27,station1,jun2023,Lindex Sweater,Sweater,Grey,data/second_hand_clothing/images/train-10592.webp
train-10594,10594,train,9549,Women,Ladies,T-shirt,Missing,Beige / Brown,,Regular,,52% viscose 48% nylone,All,,Reuse,50-100,5,5,,,,2023_06_19_07_17_18,station1,jun2023,T-shirt,T-shirt,Beige / Brown,data/second_hand_clothing/images/train-10594.webp
train-10596,10596,train,9551,Women,Ladies,Training top,Not in the list,White / Red / Black,S,V-collar,Logo print,100% polyester,All,Sports,Reuse,50-100,5,5,,none,,2023_06_19_07_24_10,station1,jun2023,Training top,Training top,White / Red / Black,data/second_hand_clothing/images/train-10596.webp
train-10597,10597,train,9552,Men,Men,Trousers,Fila,White / Red / Blue,M,Regular,Logo print,100% polyester,All,Sports,Reuse,50-100,4,4,,,,2023_06_19_07_27_03,station1,jun2023,Fila Trousers,Trousers,White / Red / Blue,data/second_hand_clothing/images/train-10597.webp
train-10598,10598,train,9553,Women,Ladies,Cardigan,Filippa K,Blue,XL,Regular,,100% wool,All,,Reuse,50-100,4,5,,Minor,,2023_06_19_07_30_18,station1,jun2023,Filippa K Cardigan,Cardigan,Blue,data/second_hand_clothing/images/train-10598.webp
train-10599,10599,train,9554,Women,Ladies,Top,Ellos,Black / Beige,38,Regular,Animal print,100% viscose,All,,Reuse,50-100,5,5,,,,2023_06_19_07_32_56,station1,jun2023,Ellos Top,Top,Black / Beige,data/second_hand_clothing/images/train-10599.webp
train-1060,1060,train,976,Women,Ladies,Sweater,Not in the list,Black / Pink / Brown / Multicolor,L,Regular,Floral print,100% Polyester,All,,Recycle,<50,2,1,,,,2024_04_26_06_55_19,station1,apr2024,Sweater,Sweater,Black / Pink / Brown / Multicolor,data/second_hand_clothing/images/train-1060.webp
train-10600,10600,train,9555,Women,Ladies,Shirt,Not in the list,White,M,Regular,,100% cotton,All,,Reuse,<50,5,5,,,,2023_06_19_07_35_49,station1,jun2023,Shirt,Shirt,White,data/second_hand_clothing/images/train-10600.webp
train-1062,1062,train,977,Women,Ladies,Top,Indiska,Black / Yellow / Purple / Multicolor,M,Loose,Other,100% Cotton,All,,Reuse,50-100,5,5,,,,2024_04_26_06_59_01,station1,apr2024,Indiska Top,Top,Black / Yellow / Purple / Multicolor,data/second_hand_clothing/images/train-1062.webp
